arb_id,status,created_at
25809015,inactive,7/21/2015 17:10
25842428,inactive,7/21/2015 20:57
25855259,inactive,7/24/2015 21:56
25855269,inactive,7/24/2015 22:13
25875162,inactive,7/25/2015 7:00
25895523,inactive,7/26/2015 3:54
22255859,inactive,7/26/2015 7:31
22255859,inactive,7/26/2015 9:25
22368549,inactive,7/26/2015 14:54
22368637,inactive,7/27/2015 1:19
22368787,inactive,7/27/2015 6:48
22368841,inactive,7/30/2015 3:37
23498085,inactive,8/2/2015 0:45
23973759,inactive,8/6/2015 4:11
23974234,inactive,8/6/2015 12:23
23974236,inactive,8/6/2015 16:19
24701788,inactive,8/7/2015 5:59
25447493,inactive,8/8/2015 7:03
25447561,inactive,8/8/2015 7:20
25463274,inactive,8/10/2015 22:15
25471257,inactive,8/11/2015 6:57
25480919,inactive,8/12/2015 2:12
